"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
815,805,"723","CROWN WORLDWIDE SRL","Settimo Milanese, Italia","MI","3.984.425","5.987.809","-299.765","-580.472","-7,52","-9,69","-193,19","-328,73",45.4794715,9.0546807
816,806,"898","METRASPED TISS SRL","Venezia, Italia","VE","3.969.200","2.912.950","173.926","110.685","4,38","3,80","10,49","7,17",45.4371908,12.3345898
817,807,"747","SERVIGEST - SRL","Cesena, Italia","FC","3.958.326","5.633.612","-661.136","-28.337","-16,70","-0,50","-951,91","-3,88",44.136352,12.2422442
818,808,"759","NEW PARTNERS SHIPPING SRL","Cantu', Italia","CO","3.952.125","5.395.676","-96.808","4.086","-2,45","0,08","-23,36","1,80",45.7395347,9.129103
819,809,"790","CRG SHIPPING SRL","Treviso, Italia","TV","3.943.375","4.693.312","2.117","3.049","0,05","0,06","2,34","3,44",45.80669135,12.2063157631164
820,810,"654","TRATTO SRL","Venezia, Italia","VE","3.940.165","7.525.754","1.689.524","550.874","42,88","7,32","57,93","42,80",45.4371908,12.3345898
821,811,"843","FAROSPED SRL","Segrate, Italia","MI","3.935.274","3.989.237","53.771","5.370","1,37","0,13","2,73","0,28",45.4907352,9.2948204
822,812,"837","PROTEO (MTC MAG. FRIG.)","Mamiano di Traversetolo, Italia","PR","3.933.112","4.053.519","476.095","386.310","12,10","9,53","7,47","6,55",44.6749229,10.3435082
823,813,"713","LANZA INTERNATIONAL SRL","Genova, Italia","GE","3.925.204","6.238.447","-372.435","-17.915","-9,49","-0,29","N.D.","-14,40",44.40726,8.9338624
824,814,"789","FRIDOCKS SRL","Pozzolo Formigaro, Italia","AL","3.910.283","4.706.187","695.399","903.408","17,78","19,20","16,37","14,49",44.7951536,8.7848493
825,815,"836","SUPERBA SRL","Genova, Italia","GE","3.910.274","4.063.386","-3.914","56.963","-0,10","1,40","-0,38","5,44",44.40726,8.9338624
826,816,"854","TRANSITAL SRL","Tirano, Italia","SO","3.876.189","3.742.867","38.581","15.180","1,00","0,41","6,49","2,73",46.2156719,10.1731777
828,817,"893","CONSORZIO SEVEN SRL","Verona, Italia","VR","3.869.181","2.998.634","80.569","6.287","2,08","0,21","64,22","36,16",45.4384958,10.9924122
829,818,"822","TRASCON SRL","Castell'Alfero, Italia","AT","3.862.761","4.283.344","-791.409","219.808","-20,49","5,13","-47,55","25,40",44.9820968,8.209929
830,819,"781","TRIPCOVICH SRL","Trieste, Italia","TS","3.847.325","4.867.862","11.621","59.569","0,30","1,22","4,49","24,07",45.6496485,13.7772781
831,820,"873","GLOBAL UNITED LOGISTIC SRL","Solofra, Italia","AV","3.845.604","3.269.947","33.544","25.541","0,87","0,78","5,61","4,53",40.8291308,14.8456516
832,821,"714","OCEAN SPED SRL","Genova, Italia","GE","3.822.999","6.229.072","-102.745","28.062","-2,69","0,45","-5,85","1,70",44.40726,8.9338624
833,822,"819","SPEDIBAN SRL","Piancogno, Italia","BS","3.821.346","4.309.746","43.511","35.895","1,14","0,83","4,00","3,44",45.919692,10.225262
834,823,"856","MY LOG SRL","Bentivoglio, Italia","BO","3.819.779","3.660.468","22.709","40.626","0,59","1,11","4,69","8,81",44.6357918,11.4171933
835,824,"886","TARGET ITALIA SRL","Vimodrone, Italia","MI","3.797.054","3.077.518","138.718","160.893","3,65","5,23","4,88","5,95",45.5128319,9.2846717
836,825,"815","TRASPOBAN SRL","Piancogno, Italia","BS","3.776.511","4.346.214","146.841","167.556","3,89","3,86","4,20","6,26",45.919692,10.225262
