"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
159,158,"164","MITSAFETRANS SRL","Carugate, Italia","MI","43.052.198","46.521.202","4.476.968","3.302.083","10,40","7,10","13,84","11,85",45.549774,9.343749
160,159,"165","DE GEORGIO TRASPORTI SRL","Marcianise, Italia","CE","42.523.274","46.117.324","161.021","1.021.273","0,38","2,21","3,48","22,87",41.0329966,14.2984228
161,160,"182","TUVIA ITALIA  (GRP KERRY)","Milano, Italia","MI","42.303.776","40.002.266","-201.081","-130.703","-0,48","-0,33","-5,09","-3,15",45.4641943,9.1896346
162,161,"134","KERRY PROJECT LOGISTICS","Milano, Italia","MI","42.195.223","53.960.405","88.226","714.761","0,21","1,32","0,64","5,21",45.4641943,9.1896346
163,162,"158","ASTER COOP LOGISTICA","Udine, Italia","UD","41.971.024","47.906.116","8.035","12.833","0,02","0,03","0,17","0,47",46.0634632,13.2358377
164,163,"171","CASASCO & NARDI SPA","Genova, Italia","GE","41.717.302","43.806.426","245.835","431.639","0,59","0,99","11,35","20,37",44.40726,8.9338624
165,164,"189","SO.GE.DI.M. SRL","Inveruno, Italia","MI","41.337.748","38.114.695","2.375.276","1.988.032","5,75","5,22","12,45","27,34",45.5138305,8.8519543
166,165,"161","SBB CARGO ITALIA","Gallarate, Italia","VA","41.149.454","47.354.915","310.591","1.457.437","0,75","3,08","1,61","7,68",45.6598951,8.7932013
167,166,"325","LOGITECH SRL","Rosate, Italia","MI","40.219.938","23.155.108","232.605","236.456","0,58","1,02","N.D.","N.D.",45.3519922,9.0174784
168,167,"131","FERRARI SPA","Alessandria, Italia","AL","40.139.446","54.999.568","1.096.962","2.098.210","2,73","3,81","6,59","12,45",44.83495335,8.74503041860587
169,168,"178","CTA COOP. TRASP. ALIMENTARI","Anzola dell'Emilia, Italia","BO","40.050.500","41.737.612","588.108","113.436","1,47","0,27","15,38","3,49",44.5466843,11.1933259
170,169,"172","DEUGRO ITALIA SRL","Milano, Italia","MI","39.975.850","43.729.489","1.470.264","1.531.048","3,68","3,50","33,58","34,74",45.4641943,9.1896346
171,170,"169","INTERGROUP","Gaeta, Italia","LT","39.931.738","44.500.000","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",41.218312,13.56281
172,171,"219","ISL NARDI SRL","Milano, Italia","MI","39.774.520","32.508.100","146.220","77.467","0,37","0,24","2,26","1,23",45.4641943,9.1896346
173,172,"197","MAREXPORT GLOBAL FORW.","Genova, Italia","GE","39.733.537","36.461.102","359.742","164.369","0,91","0,45","12,20","6,35",44.40726,8.9338624
174,173,"122","LOGITEC SOC. CONSORT. ARL","Torino, Italia","TO","39.543.141","58.092.844","-3.995.650","82.057","-10,10","0,14","N.D.","18,22",45.0677551,7.6824892
175,174,"205","CN LOGISTICS SRL","Origgio, Italia","VA","39.306.468","34.788.424","2.033.341","1.340.026","5,17","3,85","41,94","43,36",45.5976933,9.0180613
176,175,"147","AUTOTRADE & LOGISTICS SPA","Collesalvetti, Italia","LI","39.263.012","50.094.146","-610.387","387.016","-1,55","0,77","-7,54","4,44",43.588912,10.476264
177,176,"257","ORMESANI SRL","Venezia, Italia","VE","38.998.560","28.809.612","633.338","130.877","1,62","0,45","8,83","5,10",45.4371908,12.3345898
178,177,"140","BERTANI REMO SRL","Parma, Italia","PR","38.879.912","52.816.347","1.025.741","3.480.317","2,64","6,59","4,58","16,99",44.8013678,10.3280833
179,178,"264","PLURIMA SPA","Corciano, Italia","PG","38.592.289","27.820.088","2.219.277","675.719","5,75","2,43","18,34","6,92",43.1290269,12.287718
180,179,"181","MOVIMODA SPA","San Polo d’Enza, Italia","RE","38.442.764","40.907.831","-1.320.268","220.087","-3,43","0,54","-103,17","8,43",44.6258624,10.4222874
181,180,"177","ALIBERTI SPA","Montoro, Italia","AV","37.906.132","41.953.268","-2.803.150","125.353","-7,39","0,30","-28,01","1,31",40.8328763,14.7917765
182,181,"175","SETTENTRIONALE TRASPORTI","Possagno, Italia","TV","37.554.973","43.029.197","1.275.374","2.032.327","3,40","4,72","6,05","10,28",45.854879,11.8815695
183,182,"190","LIVERANI GROUP SPA","Faenza, Italia","RA","37.216.016","38.071.790","168.387","159.021","0,45","0,42","1,70","1,64",44.2855555,11.8832055
184,183,"204","CECCARELLI GROUP","Udine, Italia","UD","37.181.840","34.879.016","414.000","N.D.","1,11","N.D.","N.D.","N.D.",46.0634632,13.2358377
185,184,"199","CHEMICAL EXPRESS SRL","Napoli, Italia",NA,"37.157.398","36.141.109","1.684.032","1.121.585","4,53","3,10","9,56","13,19",40.8358846,14.2487679
186,185,"163","TERMINAL DARSENA TOSCANA","Livorno, Italia","LI","37.059.941","46.538.351","-867.029","3.314.679","-2,34","7,12","-6,62","23,75",42.7902166,10.340278678735
187,186,"162","MULTILOG SPA","Rivalta, Italia","TO","37.014.605","47.240.292","608.451","57.325","1,64","0,12","19,28","2,25",45.067604,7.9171175
188,187,"179","C.A.F. COOP. AUT. FALCONARA","Falconara Marittima, Italia","AN","36.966.792","41.715.061","-76.195","236","-0,21","0,00","-5,81","0,03",43.6293969,13.3966763
189,188,"214","BETA TRANS SPA","Segrate, Italia","MI","36.822.441","33.741.658","1.984.814","-2.668.712","5,39","-7,91","30,68","-1897,00",45.4907352,9.2948204
190,189,"180","PAGANELLA SPA","Mantova, Italia","MN","36.742.315","41.676.303","2.616.052","2.440.323","7,12","5,86","8,57","9,31",45.1692628,10.6708365156739
191,190,"187","COOPERATIVA PARATORI GENOVA","Genova, Italia","GE","36.614.356","38.214.783","2.702","9.991","0,01","0,03","0,10","0,37",44.40726,8.9338624
192,191,"185","INTER-RAIL SPA","Udine, Italia","UD","36.494.859","38.767.761","750.568","1.032.595","2,06","2,66","11,06","16,05",46.0634632,13.2358377
193,192,"211","MAR LOG CONSORZIO","Favaro Veneto, Italia","VE","36.400.251","34.127.678","31.997","-68.591","0,09","-0,20","10,58","-25,36",45.5046266,12.2820457
194,193,"184","VECTORYS ITALIA SRL","Novi Ligure, Italia","AL","36.242.290","39.233.351","1.402.943","576.940","3,87","1,47","20,56","27,28",44.76085,8.789551
195,194,"207","DACHSER FOOD LOGISTICS SRL","Nogarole Rocca, Italia","VR","35.929.008","34.735.531","-2.220.000","-2.428.777","-6,18","-6,99","N.D.","N.D.",45.291882,10.883788
196,195,"167","FLEXILOG SERVIZI LOGISTICI","Milano, Italia","MI","35.032.355","45.465.981","209.182","-897.406","0,60","-1,97","24,16","-136,65",45.4641943,9.1896346
197,196,"208","LOGISTICA 2 SRL","Trento, Italia","TN","35.025.805","34.683.010","1.034.501","652.704","2,95","1,88","45,82","53,35",46.1029536,11.1297424941688
198,197,"221","INTERPORTO PADOVA SPA","Padova, Italia","PD","34.976.470","32.217.439","2.301.624","1.088.310","6,58","3,38","1,91","1,97",45.4077172,11.8734455
199,198,"202","BDP ITALIA SRL","Segrate, Italia","MI","34.974.479","35.007.256","1.156.104","842.715","3,31","2,41","43,49","56,10",45.4907352,9.2948204
200,199,"210","CAREDIO GROUP SRL","Montaldo Scarampi, Italia","AT","34.972.229","34.220.764","2.206.414","1.112.463","6,31","3,25","17,89","12,09",44.830345,8.2590523
201,200,"223","HELLMANN LOGISTICS SPA","Segrate, Italia","MI","34.800.686","32.137.042","-88.592","265.164","-0,25","0,83","-1,40","4,12",45.4907352,9.2948204
202,201,"183","GALARDI SRL","Prato, Italia","PO","34.705.418","39.847.020","440.972","538.085","1,27","1,35","12,87","18,02",43.93571805,11.0941472677009
203,202,"238","COSCOS SRL","Genova, Italia","GE","34.388.040","30.345.215","2.084.948","1.526.187","6,06","5,03","62,05","54,99",44.40726,8.9338624
204,203,"100","ARCELOR LOGISTICS ITALIA SRL","Milano, Italia","MI","34.002.752","70.260.473","100.925","265.149","0,30","0,38","7,13","20,17",45.4641943,9.1896346
205,204,"195","PASSALACQUA & C. SRL","S. Croce Camerina, Italia","RG","33.806.206","36.820.630","45.570","72.942","0,13","0,20","0,41","0,73",36.827897,14.5255384
207,205,"192","CHIMAR SPA","Limidi di  Soliera, Italia","MO","33.250.348","37.393.635","-523.815","182.519","-1,58","0,49","-17,59","5,20",44.7618228,10.9246215
208,206,"467","CHRONO EXPRESS SRL","Settimo Torinese, Italia","TO","33.185.372","14.425.909","1.197.007","416.660","3,61","2,89","28,58","13,93",45.1373354,7.7710152
209,207,"186","GIANESINI ERMINIO SRL","Gorizia, Italia","GO","33.052.685","38.238.329","400.936","397.959","1,21","1,04","39,64","32,87",45.9441278,13.6252288
210,208,"209","GEOS GROUP","Brescia, Italia","BS","32.590.625","34.510.146","119.649","471.584","0,37","1,37","N.D.","N.D.",45.77958045,10.4258729694612
211,209,"246","TRASPORTI PESANTI SRL","Piadena, Italia","CR","32.546.467","29.896.086","2.248.529","1.265.594","6,91","4,23","11,77","9,66",45.1308551,10.3687468
212,210,"248","S.A.F.I.M. MAG.FRIG. SRL","None, Italia","TO","32.465.787","29.449.199","142.722","32.172","0,44","0,11","2,24","0,75",44.933143,7.540121
213,211,"212","ALPETRANS","Marostica, Italia","VI","32.417.187","33.976.993","358.295","256.260","1,11","0,75","8,52","8,29",45.7453924,11.6568938
214,212,"343","FEMA LOGISTICA TRASPORTI SRL","Roma, Italia","RM","32.347.798","21.343.608","96.387","33.904","0,30","0,16","11,17","4,42",41.8933203,12.4829321
215,213,"200","BARBARINI & FOGLIA SRL","Roma, Italia","RM","32.289.792","35.998.750","-257.992","265.837","-0,80","0,74","-3,82","3,76",41.8933203,12.4829321
216,214,"256","SEATRAM SRL","Genova, Italia","GE","32.050.231","29.073.168","1.754.553","1.517.587","5,47","5,22","20,94","20,44",44.40726,8.9338624
217,215,"198","TRA.MA.CO. SRL","Ravenna, Italia","RA","32.035.975","36.355.344","63.660","244.851","0,20","0,67","3,76","14,43",44.3640607,12.0590094908639
218,216,"213","EUROTRASPORTI E SERVIZI SRL","Occhiobello, Italia","RO","31.695.399","33.802.408","1.046.896","736.345","3,30","2,18","19,70","17,16",44.9212498,11.5813996
219,217,"188","FRATELLI NERI SPA","Livorno, Italia","LI","31.671.775","38.140.605","591.617","6.374.233","1,87","16,71","0,48","6,61",42.7902166,10.340278678735
220,218,"270","RIVALTA SPEDIZIONI (CONS.)","Rivalta Scrivia, Italia","AL","31.582.070","27.323.813","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",44.8518462,8.8163942
221,219,"494","CARGO BROKER SPA","Torino, Italia","TO","31.496.400","13.300.580","421.015","104.764","1,34","0,79","57,53","33,71",45.0677551,7.6824892
222,220,"196","T.I.E. TRASP. INTERMODALI SRL","Scandiano, Italia","RE","31.325.218","36.818.288","404.943","500.153","1,29","1,36","9,47","14,95",44.5993449,10.6878385
223,221,"191","AUTOTRASPORTI RUTILLI ADOLFO","Castellucchio, Italia","MN","31.244.561","37.939.235","24.067","-258.812","0,08","-0,68","0,68","-10,34",45.147276,10.648485
224,222,"263","RIF LINE ITALY SPA","Fiumicino, Italia","RM","31.197.972","27.982.180","401.293","337.849","1,29","1,21","28,11","32,91",41.7712145,12.2278855
225,223,"251","NICOLOSI TRASPORTI SRL","Catania, Italia","CT","31.171.668","29.258.729","1.791.160","884.003","5,75","3,02","14,94","11,59",37.5023612,15.0873718
226,224,"234","NICOLI SPA","Albino, Italia","BG","31.136.673","30.580.528","-179.607","714.558","-0,58","2,34","-2,85","10,87",45.760661,9.7969489
227,225,"201","AD LOGISTICA SRL","Battipaglia, Italia","SA","31.127.506","35.345.620","156.037","444.278","0,50","1,26","1,80","3,43",40.6092539,14.9821443
228,226,"203","VALSPED ITALIA SPA","Dalmine, Italia","BG","30.940.133","34.946.722","87.161","48.737","0,28","0,14","1,54","0,87",45.6525039,9.6060129
229,227,"222","MATTEO ADRAGNA SRL","Carini, Italia","PA","30.909.957","32.157.230","460.455","141.248","1,49","0,44","34,33","16,04",38.131172,13.1818847
230,228,"243","PHARDIS SRL","Calvenzano, Italia","BG","30.777.070","29.996.585","122.471","69.341","0,40","0,23","3,51","3,89",45.4949814,9.6012863
231,229,"277","MATELDA SRL","Rottofreno, Italia","PC","30.588.419","26.892.853","2.759.385","675.147","9,02","2,51","29,24","11,89",45.057464,9.547763
232,230,"228","AUTOMAR - SPA","Pontecagnano Faiano, Italia","SA","30.498.849","31.675.454","1.225.680","1.747.622","4,02","5,52","11,06","14,99",40.6409045,14.8818819
233,231,"295","HAPAG LLOYD ITALY SRL","Genova, Italia","GE","30.484.939","25.298.751","351.173","128.927","1,15","0,51","25,48","12,56",44.40726,8.9338624
234,232,"193","I-FAST CONTAINER LOGISTICS","Torino, Italia","TO","30.415.814","37.383.284","9.108.938","13.368.363","29,95","35,76","18,75","25,48",45.0677551,7.6824892
235,233,"247","D. N LOGISTICA SRL","Catania, Italia","CT","30.403.874","29.564.371","3.849.734","2.286.649","12,66","7,73","19,59","24,97",37.5023612,15.0873718
236,234,"288","COLUMBUS (GRUPPO)","Cormano, Italia","MI","30.308.000","26.000.000","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",45.54451325,9.16762072996116
237,235,"225","LAGHEZZA SPA","La Spezia, Italia","SP","30.261.229","32.010.267","700.912","582.676","2,32","1,82","N.D.","N.D.",44.23836595,9.69123263454754
238,236,"170","O.T.S. SPA","Civitanova Marche, Italia","MC","30.235.050","44.367.481","-1.072.116","-4.421.493","-3,55","-9,97","N.D.","N.D.",43.3055233,13.7229297
239,237,"282","FAS SRL","Sambuceto, Italia","CH","30.159.274","26.619.834","126.285","186.973","0,42","0,70","1,56","2,37",44.5245285,9.6765937
240,238,"217","BLUE CITY SRL","Trento, Italia","TN","30.034.287","33.016.385","-3.396.039","-1.576.910","-11,31","-4,78","-27,25","-9,95",46.1029536,11.1297424941688
241,239,"231","MAGANETTI SPEDIZIONI SPA","Tirano, Italia","SO","29.853.046","31.483.816","-174.563","-303.349","-0,58","-0,96","-3,27","-5,49",46.2156719,10.1731777
242,240,"230","YUSEN LOGISTICS ITALY SPA","Arluno, Italia","MI","29.771.420","31.548.506","-2.393.587","-53.131","-8,04","-0,17","-1121,07","-2,04",45.50507,8.941541
243,241,"260","F.LLI CANIL SPA","Loria, Italia","TV","29.710.126","28.447.429","943.495","594.951","3,18","2,09","14,28","10,51",45.7284237,11.8655848
244,242,"239","VERCESI AUTOTRASPORTI SPA","Vignate, Italia","MI","29.660.236","30.314.349","600.440","1.284.182","2,02","4,24","8,11","18,89",45.496573,9.376651
245,243,"244","NORD OVEST TRASPORTI SRL","Cuneo, Italia","CN","29.539.234","29.960.710","329.948","224.490","1,12","0,75","7,50","7,12",44.45807035,7.55813669115162
246,244,"254","BACCETTI TRASPORTI LOGISTICA","Empoli, Italia","FI","29.483.665","29.146.002","569.054","420.964","1,93","1,44","6,75","5,35",43.7194884,10.9458556
247,245,"240","SIGEMI SRL","Milano, Italia","MI","29.359.376","30.271.385","305.745","664.911","1,04","2,20","1,73","3,83",45.4641943,9.1896346
248,246,"262","CORSI SPA","Verona, Italia","VR","29.251.927","28.007.080","1.879.995","567.889","6,43","2,03","22,54","8,79",45.4384958,10.9924122
249,247,"253","CATONE LOGISTICA SRL","Pastorano, Italia","CE","29.141.465","29.156.447","1.854.206","2.013.384","6,36","6,91","12,09","14,93",41.180816,14.198225
250,248,"236","MOVE INTERMODAL SRL","Novara, Italia","NO","29.025.415","30.456.201","292.198","-178.183","1,01","-0,59","12,37","-8,61",45.58425005,8.54599697089457
251,249,"235","STEF INTERNATIONAL  ITALIA SRL","Colturano, Italia","MI","28.921.000","30.491.556","1.715.000","1.937.703","5,93","6,35","N.D.","42,95",45.37977,9.337852
252,250,"218","LOGISTICA MEDITERRANEA SPA","Elmas, Italia","CA","28.850.689","32.971.865","461.684","300.008","1,60","0,91","5,95","4,11",39.2680862,9.0496306
253,251,"249","AIR OCEAN CARGO SRL","Pioltello, Italia","MI","28.830.183","29.425.365","1.469.560","1.395.159","5,10","4,74","56,52","51,03",45.5010216,9.3263354
254,252,"268","INTERPORTO BOLOGNA SPA","Bentivoglio, Italia","BO","28.752.016","27.342.837","-29.261","-1.348.770","-0,10","-4,93","-0,09","-4,22",44.6357918,11.4171933
255,253,"233","NCV NUOVA CAMP VELOCI","Crespellano, Italia","BO","28.469.056","31.101.090","-715.280","-473.609","-2,51","-1,52","-14,81","-8,55",44.5105352,11.130521
256,254,"258","CENTRAL SHIPPING AGENCY SPA","Milano, Italia","MI","28.190.650","28.724.977","1.069.704","1.470.580","3,79","5,12","15,52","23,62",45.4641943,9.1896346
257,255,"220","STI SOC. TRASP. INDUSTRIALI SPA","Nogara, Italia","VR","28.155.092","32.282.521","-1.103.013","59.128","-3,92","0,18","-140,80","2,33",45.1790124,11.0637333
258,256,"250","CONSORZIO TRASPORTI LOGISTICA","Scorze', Italia","VE","28.059.758","29.359.677","1.322","1.060","0,00","0,00","13,27","12,26",45.5713541,12.108383
259,257,"746","INTERPORTO TOSCANO A. VESPUCCI","Collesalvetti, Italia","LI","28.041.430","5.656.555","4.315.000","55.841","15,39","0,99","N.D.","N.D.",43.588912,10.476264
260,258,"300","GALLOZZI SHIPPING LTD. SPA","Salerno, Italia","SA","27.923.431","24.957.431","199.050","513.868","0,71","2,06","10,61","30,74",40.41944165,15.3107562303225
261,259,"194","ZANINONI INTERNATIONAL SPA","Bagnatica, Italia","BG","27.863.230","37.204.510","23.922","463.398","0,09","1,25","0,29","5,67",45.660881,9.781057
262,260,"287","EUROFRIGO SRL","Vitulazio, Italia","CE","27.741.189","26.056.839","1.302.635","1.227.732","4,70","4,71","9,90","10,36",41.164116,14.216925
263,261,"273","INNOCENTI DEPOSITI SPA","Pioltello, Italia","MI","27.540.282","27.150.757","387.890","-129.766","1,41","-0,48","0,80","-0,27",45.5010216,9.3263354
264,262,"278","UPS HEALTHCARE ITALIA SRL","Formello, Italia","RM","27.290.922","26.881.031","-813.233","-242.593","-2,98","-0,90","-7,69","-2,13",42.082521,12.400273
265,263,"280","DIFARCO SRL","Liscate, Italia","MB","27.282.134","26.807.054","239.925","73.173","0,88","0,27","7,79","4,98",45.4815487,9.4090115
266,264,"245","GAVA IFC SPA","Vignate, Italia","MI","27.217.194","29.938.482","-2.958.494","75.629","-10,87","0,25","-102,92","2,17",45.496573,9.376651
267,265,"261","MUTTI SPA","Podenzano, Italia","OC","27.024.014","28.169.175","147.746","231.467","0,55","0,82","3,12","5,05",44.956363,9.684967
268,266,"255","GDT LOGISTIC SRL","Genova, Italia","GE","26.805.920","29.119.725","36.141","231.113","0,13","0,79","4,08","21,16",44.40726,8.9338624
269,267,"317","C.T.S. COOP. TR. SANTARCANGELO","Santarcangelo, Italia","RN","26.711.558","23.770.645","511.960","211.002","1,92","0,89","3,99","1,71",44.0861418,12.4627863
270,268,"291","TRASGO SRL","S. Pietro Mosezzo, Italia","NO","26.575.065","25.506.316","956.750","274.936","3,60","1,08","9,84","3,13",45.4558807,8.5441897
271,269,"279","TECNOFREIGHT SRL","Osio Sotto, Italia","BG","26.476.365","26.878.954","-34.055","13.665","-0,13","0,05","-6,56","2,47",45.616078,9.589053
272,270,"298","NUOVA LOGISTICA LUCIANU SRL","Olbia, Italia","OT","26.293.561","25.147.189","1.678.227","803.482","6,38","3,20","20,26","12,13",40.9232659,9.5027442
273,271,"334","VIGLIENZONE ADRIATICA SPA","Ravenna, Italia","RA","25.945.406","21.824.392","541.974","537.313","2,09","2,46","16,88","21,91",44.3640607,12.0590094908639
274,272,"289","PRISMA LOGISTICS SPA","Verona, Italia","VR","25.819.211","25.957.937","311.253","458.669","1,21","1,77","12,00","24,62",45.4384958,10.9924122
276,273,"271","ADAMI AUTOTRASPORTI SPA","Negrar, Italia","VR","25.629.342","27.273.203","131.746","367.530","0,51","1,35","1,06","3,06",45.5296706,10.9400217
277,274,"272","MAG.DI SRL","Frascati, Italia","RM","25.559.684","27.178.485","943.488","626.958","3,69","2,31","8,72","6,61",41.8082452,12.6803684
278,275,"304","GUGEL LOGISTICA SRL","Falze' di Piave, Italia","TV","25.552.272","24.814.426","1.118.692","654.360","4,38","2,64","30,49","27,59",45.8607248,12.1677081
279,276,"445","COLO' F.LLI SRL","Livorno, Italia","LI","25.448.932","15.246.536","1.914.826","530.825","7,52","3,48","89,05","69,35",42.7902166,10.340278678735
280,277,"266","FAVARO SERVIZI SRL","Riese Pio X, Italia","TV","25.344.781","27.742.452","1.681.864","273.835","6,64","0,99","21,93","3,81",45.7292223,11.917005
281,278,"216","SIFTE BERTI SPA","Lainate, Italia","MI","25.195.581","33.356.753","-2.862.948","-1.193.628","-11,36","-3,58","-11,84","-5,12",45.5717302,9.028461
282,279,"296","TRANS WORLD SHIPPING SRL","Civitanova Marche, Italia","MC","25.156.112","25.256.114","1.047.868","318.659","4,17","1,26","29,89","12,98",43.3055233,13.7229297
283,280,"629","WORLD CARGO SRL","Roma, Italia","RM","25.105.642","8.350.856","480.573","-83.911","1,91","-1,00","57,25","-23,39",41.8933203,12.4829321
284,281,"259","AUTOTRASPORTI DE GIROLAMI SPA","Motta di Livenza, Italia","TV","24.936.513","28.505.838","-1.046.394","75.744","-4,20","0,27","-39,65","2,06",45.77663,12.6105482
285,282,"284","F.LLI FOPPIANI TRASPORTI SRL","Milano, Italia","MI","24.747.117","26.428.515","174.226","248.432","0,70","0,94","1,95","3,00",45.4641943,9.1896346
286,283,"275","ROCCO TRASPORTI SRL","Battipaglia, Italia","SA","24.679.942","27.124.357","140.264","127.815","0,57","0,47","N.D.","N.D.",40.6092539,14.9821443
287,284,"303","RIZZATO TRASPORTI LOGISTICA","Cisterna, Italia","LT","24.657.060","24.860.423","152.907","151.663","0,62","0,61","8,40","9,10",43.5262024,13.5326565
288,285,"337","GI.MA. TRANS SRL","Pozzo D'adda, Italia","MI","24.549.896","21.593.683","1.895.000","736.485","7,72","3,41","N.D.","N.D.",45.5756656,9.5003771
289,286,"314","ROHLIG ITALIA SPA","Bentivoglio, Italia","BO","24.518.544","24.194.330","203.130","162.702","0,83","0,67","14,52","13,60",44.6357918,11.4171933
290,287,"281","SUD TRASPORTI LOGIST. INTEGR.","Catania, Italia","CT","24.504.648","26.770.195","2.257.103","2.792.969","9,21","10,43","42,54","37,00",37.5023612,15.0873718
291,288,"301","HUPAC SPA","Busto Arsizio, Italia","VA","24.456.378","24.909.839","688.131","650.968","2,81","2,61","6,38","8,21",45.6119057,8.8520522
292,289,"276","AUTOTRASPORTI CHIARCOSSO","Udine, Italia","UD","24.386.308","26.958.969","-1.410.396","71.766","-5,78","0,27","-51,86","2,41",46.0634632,13.2358377
293,290,"352","ASENDIA ITALY","Tribiano, Italia","MI","24.222.521","20.433.951","79.433","-136.283","0,33","-0,67","3,37","-5,98",45.413371,9.378952
294,291,"286","ELECTROLUX LOGISTICS SPA","Porcia, Italia","PN","24.193.975","26.163.008","718.858","736.003","2,97","2,81","43,77","44,42",45.946555,12.6017808747864
295,292,"285","POLO AUTOTRASPORTI","Cesena, Italia","FC","23.960.851","26.398.436","50.468","28.446","0,21","0,11","1,30","0,73",44.136352,12.2422442
296,293,"310","INTERFASHION TR. NORD AFRICA","Vicenza, Italia","VI","23.920.208","24.563.325","1.254.883","978.830","5,25","3,98","16,34","23,29",45.63485905,11.4063542566025
297,294,"267","CAVALLO GIORDANO VALLAURI","Boves, Italia","CN","23.765.131","27.588.651","2.795.050","2.738.644","11,76","9,93","14,93","15,91",44.3296258,7.5518938
298,295,"N.D.","FEREST RAIL SPA (2019 DA 1/4)","Udine, Italia","UD","23.744.831","13.650.563","1.073.904","324.974","4,52","2,38","5,46","3,75",46.0634632,13.2358377
299,296,"297","FASULO SRL","Caiazzo, Italia","CE","23.646.800","25.189.367","606.454","324.829","2,56","1,29","12,11","7,45",41.1783215,14.3649478
300,297,"241","TRAILER SPA","Vobarno, Italia","BS","23.543.747","30.230.936","379.381","733.875","1,61","2,43","5,32","10,87",45.6436432,10.499454
301,298,"326","UPS SCS (ITALY) SRL","Segrate, Italia","MI","23.207.974","23.006.059","567.595","966.914","2,45","4,20","5,76","10,40",45.4907352,9.2948204
302,299,"269","FRANCESCO PARISI SPA","Trieste, Italia","TS","23.104.960","27.337.289","-792.257","3.699","-3,43","0,01","-12,28","0,06",45.6496485,13.7772781
303,300,"294","D'ALTERIO GROUP LOGISTICA","Villaricca, Italia",NA,"22.992.385","25.319.053","268.056","286.864","1,17","1,13","8,34","9,74",40.921611,14.189828
304,301,"327","NUOVA MOSCATO SRL","Modena, Italia","MO","22.970.575","22.834.710","398.952","471.666","1,74","2,07","6,90","8,66",44.5384728,10.9359608705307
305,302,"242","OM LOG SPA","Settala, Italia","MI","22.745.422","30.046.251","10.921.159","4.768.949","48,01","15,87","90,62","109,26",45.4544127,9.3867659
306,303,"302","B. & B. ENTERPRISE SRL","Manerbio, Italia","BS","22.685.427","24.862.253","1.134.863","605.951","5,00","2,44","33,68","18,73",45.355777,10.13517
307,304,"318","ITX CARGO (CONS.)","Origgio, Italia","VA","22.656.184","23.688.097","120.146","-22.176","0,53","-0,09","N.D.","N.D.",45.5976933,9.0180613
308,305,"321","ERIXMAR SRL","Genova, Italia","GE","22.654.222","23.595.766","575.533","34.150","2,54","0,14","71,60","14,96",44.40726,8.9338624
309,306,"368","R.A.D. LOGISTICA SOC. COOP.","Rodano, Italia","MI","22.636.307","19.100.583","52.609","38.887","0,23","0,20","2,10","1,63",45.4751079,9.3549881
310,307,"316","TRASCOOP E SERVIZI SCARL","Castel San Pietro, Italia","BO","22.571.570","24.098.474","42.899","7.898","0,19","0,03","1,60","0,30",46.26907755,11.1123464492147
311,308,"315","MAGLI INTERMODAL SERVICE","Spinadesco, Italia","CR","22.522.021","24.103.845","107.836","-68.743","0,48","-0,29","1,91","-5,08",45.1487508,9.9296724
312,309,"320","AMENDOLA SRL","Roccapiemonte, Italia","SA","22.512.225","23.614.103","800.773","342.869","3,56","1,45","8,88","4,18",40.762465,14.6923748
313,310,"331","ITALTRADE SRL","Catania, Italia","CT","22.436.303","22.021.681","598.477","463.684","2,67","2,11","6,91","5,76",37.5023612,15.0873718
314,311,"386","MATRAS SRL","Genova, Italia","GE","22.274.908","17.739.340","510.924","590.764","2,29","3,33","14,80","18,51",44.40726,8.9338624
315,312,"348","S.C.T. SALERNO CONT. TERMINAL","Salerno, Italia","SA","22.269.859","20.937.011","1.482.280","585.653","6,66","2,80","13,62","6,70",40.41944165,15.3107562303225
316,313,"307","TRAMO SRL","Giussano, Italia","MI","22.214.643","24.599.752","544.217","401.688","2,45","1,63","11,52","10,87",45.6993814,9.2097294
317,314,"351","MONAVA SPA","Cardano Al Campo, Italia","VA","22.143.144","20.531.352","729.866","105.499","3,30","0,51","11,80","8,83",45.645717,8.7724976
318,315,"265","NIINIVIRTA (GRP DI MARTINO)","Tribiano, Italia","MI","22.118.573","27.771.931","320.461","513.844","1,45","1,85","6,54","19,20",45.413371,9.378952
319,316,"330","CTS COMP.TRASP.SERVIZI SPA","San Giuliano Milanese, Italia","MI","22.025.251","22.208.114","642.433","75.772","2,92","0,34","21,29","6,99",45.39427,9.291851
320,317,"283","S.T.C. SERV.TRASP. COMBINATI","Genova, Italia","GE","22.005.256","26.457.121","89.247","375.707","0,41","1,42","2,31","9,72",44.40726,8.9338624
321,318,"311","M2LOG SRL (GRUPPO MIROGLIO)","Bra, Italia","CN","21.984.285","24.508.875","565.574","150.244","2,57","0,61","2,24","0,61",44.6976778,7.8542707
322,319,"346","FISCHER & RECHSTEINER SPA","Valmadrera, Italia","LC","21.798.183","21.054.229","-261.050","57.688","-1,20","0,27","-13,88","2,69",45.846282,9.358244
